FIPS,Code,Name,Type,Year,Population,Median Household Income,Population Source,Median Household Income Source
26,MI,Michigan,state,2012,9886610,46859,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
27,MN,Minnesota,state,2012,5377695,58906,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
28,MS,Mississippi,state,2012,2982963,37095,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
29,MO,Missouri,state,2012,6023267,45321,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
30,MT,Montana,state,2012,1003522,45076,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
31,NE,Nebraska,state,2012,1854862,50723,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
32,NV,Nevada,state,2012,2752410,49760,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
33,NH,New Hampshire,state,2012,1320923,63280,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
34,NJ,New Jersey,state,2012,8882095,69667,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
35,NM,New Mexico,state,2012,2083590,42558,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
36,NY,New York,state,2012,19625409,56448,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
37,NC,North Carolina,state,2012,9755299,45150,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
38,ND,North Dakota,state,2012,701380,53585,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
39,OH,Ohio,state,2012,11546969,46829,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
40,OK,Oklahoma,state,2012,3815298,44312,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
41,OR,Oregon,state,2012,3893920,49161,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
42,PA,Pennsylvania,state,2012,12768034,51230,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
44,RI,Rhode Island,state,2012,1052761,54554,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
45,SC,South Carolina,state,2012,4719009,43107,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
46,SD,South Dakota,state,2012,832576,48362,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
47,TN,Tennessee,state,2012,6450632,42764,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
48,TX,Texas,state,2012,26078327,50740,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
49,UT,Utah,state,2012,2854222,57049,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
50,VT,Vermont,state,2012,625606,52977,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
51,VA,Virginia,state,2012,8188656,61741,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
53,WA,Washington,state,2012,6890899,57573,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
54,WV,West Virginia,state,2012,1855360,40196,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
55,WI,Wisconsin,state,2012,5721075,51059,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
56,WY,Wyoming,state,2012,576608,54901,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
60,AS,American Samoa,territory,2012,55519,23892,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
66,GU,Guam,territory,2012,159358,48274,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
69,MP,Northern Mariana Islands,territory,2012,53883,19958,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
72,PR,Puerto Rico,territory,2012,3634488,19429,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
78,VI,U.S. Virgin Islands,territory,2012,106405,37254,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
1,AL,Alabama,state,2013,4827660,42849,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
2,AK,Alaska,state,2013,736760,72237,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
4,AZ,Arizona,state,2013,6616124,48510,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
5,AR,Arkansas,state,2013,2956780,40511,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
6,CA,California,state,2013,38347383,60190,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
8,CO,Colorado,state,2013,5262556,58823,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
9,CT,Connecticut,state,2013,3602470,67098,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
10,DE,Delaware,state,2013,925114,57846,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
11,DC,District of Columbia,district,2013,650114,67572,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
12,FL,Florida,state,2013,19584927,46036,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
13,GA,Georgia,state,2013,9981773,47829,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
15,HI,Hawaii,state,2013,1408038,68020,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
16,ID,Idaho,state,2013,1610187,46783,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
17,IL,Illinois,state,2013,12890403,56210,"U.S. Census Bureau, 2013 Population Estimate","U.S. Census Bureau, 2013 American Community Survey 1-Year Estimates"
